gvkey,indfmt,datafmt,consol,popsrc,fyear,datadate,act,at,ceq,dlc,dltt,ebitda,lct,exchg,ninc,conm,costat,fic,cik,sic
19387,INDL,HIST_STD,C,I,2010,20101231,1.833,8.109,7.741,0,0,-1.538,0.368,106,,LAGUNA RESOURCES NL,I,AUS,802127,1311
23681,INDL,HIST_STD,C,I,2010,20100630,40.173,73.972,68.583,0,0,3.482,3.269,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2011,20110630,50.078,172.497,157.528,0,0,-0.901,8.857,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2012,20120630,149.293,346.361,299.941,0,0,23.36,28.258,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2013,20130630,187.932,498.866,440.085,0,0,60.976,32.43,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2014,20140630,126.478,562.62,482.524,0,0,72.973,37.188,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2015,20150630,89.734,484.174,401.916,0,0,-65.251,29.831,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2016,20160630,129.906,454.105,369.645,0,0,-44.722,35.49,106,,SENEX ENERGY LTD,A,AUS,,1311
23681,INDL,HIST_STD,C,I,2017,20170630,162.907,513.493,439.485,0,0,-1.256,29.666,106,,SENEX ENERGY LTD,A,AUS,,1311
23999,INDL,HIST_STD,C,I,2010,20100630,12.359,39.57,25.115,11.284,0,-2.571,13.603,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2011,20110630,63.829,80.495,76.533,0,0.03,-4.031,3.406,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2012,20120630,24.906,54.71,46.768,0,0.007,-33.483,6.655,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2013,20130630,17.529,52.807,44.907,0,0,-11.953,7.031,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2014,20140630,17.853,68.841,53.636,0,6,-1.56,8.093,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2015,20150630,6.239,40.527,16.666,0,18.699,-28.952,3.898,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2016,20160630,19.067,52.043,5.192,15.546,19,-17.918,23.168,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
23999,INDL,HIST_STD,C,I,2017,20170630,2.453,35.358,3.06,23.42,0,-0.9,29.142,106,,SAMSON OIL & GAS LTD,A,AUS,1404079,1311
28286,INDL,HIST_STD,C,I,2010,20101231,906.272,3001.507,1721.796,0,783.693,463.29,384.418,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2011,20111231,871.552,3137.179,1771.498,183.107,753.474,539.163,532.141,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2012,20121231,836.774,3273.983,1921.72,0.979,915.838,777.25,368.892,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2013,20131231,763.3,3544.3,2065.6,11.1,1019.6,829.6,390.5,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2014,20141231,657.4,3563,1901.6,24.8,1160.1,754.3,409.8,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2015,20151231,470.3,2914.1,1463.7,24.8,1099.9,474,298.4,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2016,20161231,381.9,2817,1359.4,38.8,1132,317.3,246.4,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28286,INDL,HIST_STD,C,I,2017,20171231,447.7,2482.8,879.5,77.6,1135.8,340.3,367.2,228,,PGS-PETROLEUM GEO-SERVICES,A,NOR,902053,1382
28338,INDL,HIST_STD,C,I,2010,20101231,6195,36811,21383,2012,9209,4091,3836,151,,TRANSOCEAN LTD,A,CHE,1451505,1381
28338,INDL,HIST_STD,C,I,2011,20111231,7609,35088,15701,2039,11497,2875,5358,151,,TRANSOCEAN LTD,A,CHE,1451505,1381
28338,INDL,HIST_STD,C,I,2012,20121231,8647,34255,15745,1367,11092,2766,5463,151,,TRANSOCEAN LTD,A,CHE,1451505,1381
28456,INDL,HIST_STD,C,I,2010,20101130,1403.3,2989.5,1202.5,0,435.3,507.2,1190.5,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2011,20111231,2914.1,9247.6,5781,12.9,899,931.3,2272,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2012,20121231,3820.9,10495.1,6324.5,494.5,1040.9,1047.8,2869.2,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2013,20131231,3136.6,10357.3,6565.7,275.4,636.3,829.7,2850.5,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2014,20141231,2161.8,8624.4,5586.9,1.9,578,1350.1,2203.2,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2015,20151231,2026.3,7854.2,5377.1,0,525.7,1265,1773.9,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2016,20161231,2565.3,7803,5583.5,427.3,1.8,1182.3,2062.6,228,,SUBSEA 7 SA,A,LUX,898685,1389
28456,INDL,HIST_STD,C,I,2017,20171231,2182.4,7744.7,5892.6,24.5,260,1067.1,1310.4,228,,SUBSEA 7 SA,A,LUX,898685,1389
30923,INDL,HIST_STD,C,I,2010,20101231,5751.4,10222,3179.8,681.3,1092.1,776,5672.9,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2011,20111231,5808.5,11432,3651.6,544.4,1543.5,876.8,5811,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2012,20121231,5248.4,11581,4001.2,400.4,1705.7,1005.9,5433.4,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2013,20131231,6839.7,13251,4156.8,174.5,2403.4,1051.6,6157.6,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2014,20141231,6601.3,13419.8,4363.4,256.4,2356.6,1022.5,6219.6,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2015,20151231,6699.6,13669,4536.4,937.1,1626,1084.7,7048.5,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2016,20161231,10556.9,17779,4804.6,848.5,1573.4,1097.3,10963.2,,,TECHNIPFMC PLC,A,FRA,1681459,1389
30923,INDL,HIST_STD,C,I,2017,20171231,12977.1,28263.7,13387.9,77.1,3777.9,1873.2,9829.4,,,TECHNIPFMC PLC,A,FRA,1681459,1389
61759,INDL,HIST_STD,C,I,2010,20101231,349.32,636.042,289.491,147.543,0,249.47,279.353,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2011,20111231,280.814,605.139,177.903,2.344,223.075,274.655,137.461,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2012,20121231,296.907,636.516,182.23,0.04,234.033,316.543,140.51,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2013,20131231,303.868,661.01,163.323,0.026,267.002,359.756,135.775,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2014,20141231,301.82,675.653,87.573,0,356,375.634,131.866,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2015,20151231,238.547,625.258,-29.064,0,430.987,215.087,120.758,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2016,20161231,186.461,573.052,151.354,0,216.488,113.759,104.023,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
61759,INDL,HIST_STD,C,I,2017,20171231,207.427,584.812,144.844,0,226.989,138.763,105.018,104,,CORE LABORATORIES NV,A,NLD,1000229,1389
62961,INDL,HIST_STD,C,I,2010,20101231,47.419,159.748,129.992,11.671,0,-27.768,26.711,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2011,20111231,31.503,123.312,110.714,0,0,8.108,10.569,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2012,20121231,32.179,101.91,88.632,0,0,-11.851,13.278,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2013,20131231,30.591,106.493,102.076,0,0,-5.339,4.417,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2014,20141231,12.245,70.335,66.337,0,0,-35.38,3.998,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2015,20151231,26.22,89.361,74.167,0,0,6.255,9.573,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2016,20161231,23.843,96.045,85.095,0,0,5.279,5.877,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
62961,INDL,HIST_STD,C,I,2017,20171231,39.374,116.636,102.296,0,3.825,15.325,10.059,194,,SERICA ENERGY PLC,A,GBR,1550406,1311
64252,INDL,HIST_STD,C,I,2010,20100630,38.054,116.516,104.733,0.041,0.244,-1.585,5.836,106,,MOSAIC OIL NL,I,AUS,,1311
65767,INDL,HIST_STD,C,I,2010,20101231,3269.735,13521.746,6934.051,1288.408,4250.578,3401.194,1965.116,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2011,20111231,4255.173,14864.388,7981.223,1318.394,4429.469,3540.996,2074.126,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2012,20121231,2971.109,15811.907,7887.602,730.312,4196.873,3531.091,3419.077,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2013,20131231,3324.323,18651.814,8741.759,798.181,4028.369,3359.331,5123.279,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2014,20141231,522.332,3468.622,1307.929,95.455,1359.937,516.46,661.757,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2015,20151231,676.937,2573.429,965.528,325.658,1002.088,637.015,505.517,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2016,20161231,511.72,1890.03,853.243,0,879.611,498.853,66.336,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
65767,INDL,HIST_STD,C,I,2017,20171231,566.393,1641.431,593.309,190.909,686.244,104.885,300.767,228,,FRED OLSEN ENERGY ASA,A,NOR,,1381
100076,INDL,HIST_STD,C,I,2010,20101231,11487.844,20981.474,6739.786,392.5,3675.968,1937.099,7122.55,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2011,20111231,12248.507,24482.57,7390.382,1224.817,4068.696,2100.77,8616.126,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2012,20121231,14669.003,29170.532,9245.952,1401.917,6202.345,2823.727,9064.221,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2013,20131231,17957.408,30055.62,9701.181,880.268,6582.861,2369.489,9342.007,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2014,20141231,21187.356,31554.825,10380.762,2113.103,5586.908,2637.41,10825.195,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2015,20151231,16547.794,28920.601,11095.661,1155.412,7401.934,1362.497,9077.214,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2016,20161231,16390.519,29234.154,11658.949,2140.496,7217.721,1158.443,9170.519,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100076,INDL,HIST_STD,C,I,2017,20171231,14952.418,28112.789,11432.688,2110.456,6078.919,580.903,9452.147,251,,KEPPEL CORPORATION LTD,A,SGP,851346,1389
100165,INDL,HIST_STD,C,I,2010,20101231,5271,13769,7605,370,2787,1029,1615,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2011,20111231,4752,15814,8967,169,3092,1240,1524,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2012,20121231,3258,17035,9370,15,3689,1550,1311,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2013,20131231,2078,20609,10216,189,5582,1661,1726,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2014,20141231,2065,22345,9417,327,7925,-545,1946,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2015,20151231,2921,21926,10202,210,7211,-528,1273,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2016,20161231,2950,15262,7080,420,4819,293,1556,106,,SANTOS LTD,A,AUS,800861,1311
100165,INDL,HIST_STD,C,I,2017,20171231,1972,13706,7151,207,3736,1426,951,106,,SANTOS LTD,A,AUS,800861,1311
100712,INDL,HIST_STD,C,I,2010,20101231,1579,20196,11091,403,4547,2771,1840,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2011,20111231,1014,22740,12658,770,4547,2740,2412,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2012,20121231,3289,24810,15148,575,3959,4166,2365,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2013,20131231,2895,23770,15225,1243,2587,3683,2364,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2014,20141231,4042,24082,15824,629,1957,5116,1941,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2015,20151231,1079,23839,14226,77,4364,1943,1304,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2016,20161231,900,24753,14839,76,4897,2633,963,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100712,INDL,HIST_STD,C,I,2017,20171231,1013,25401,15050,76,4989,2784,1088,106,,WOODSIDE PETROLEUM LTD,A,AUS,844551,1311
100778,INDL,HIST_STD,C,I,2010,20101231,1826.797,5090.987,2073.17,285.056,1487.454,686.605,1386.702,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2011,20111231,1726.074,5290.061,1283.568,600.096,1531.887,808.057,2006.005,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2012,20121231,2938.515,6335.388,1468.535,623.577,1907.403,569.644,2504.918,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2013,20131231,3463,7118,2064,376,2514,672,2077,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2014,20141231,5133,11118,2419,918,4332,1130,3020,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2015,20151231,5749,11340,2496,763,4959,765,2354,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2016,20161231,1965,11488,2516,557,5564,844,1760,104,,SBM OFFSHORE NV,A,NLD,,1389
100778,INDL,HIST_STD,C,I,2017,20171231,3085,11007,2501,1223,4347,809,2514,104,,SBM OFFSHORE NV,A,NLD,,1389
101083,INDL,HIST_STD,C,I,2010,20101231,6616,15028,4060,1329,2887,1826,7565,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2011,20111231,6718,15852,4709,1722,2576,2129,7963,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2012,20121231,7806,17195,5405,2140,3543,2201,7594,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2013,20131231,7901,17043,4652,3257,2859,691,8926,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2014,20141231,8700,17594,4137,2780,3314,1204,9605,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2015,20151231,7564,16319,3474,3672,2841,498,9458,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2016,20161231,7786,14286,4866,206,3194,901,5671,209,,SAIPEM SPA,A,ITA,1062750,1382
101083,INDL,HIST_STD,C,I,2017,20171231,6743,12590,4558,189,2929,858,4487,209,,SAIPEM SPA,A,ITA,1062750,1382
101392,INDL,HIST_STD,C,I,2010,20100630,395.574,1677.008,1370.381,0,0,92.397,106.284,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2011,20110630,308.519,1587.834,1266.775,0,0,9.498,138.397,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2012,20120630,564.556,2148.193,1611.847,0,113.376,275.958,127.591,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2013,20130630,599.383,2404.788,1782.506,0,119.953,313.644,165.497,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2014,20140630,637.918,2654.652,1870.773,127.085,0,388.764,401.104,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2015,20150630,441.6,1836.4,1354.8,0,148.5,-385.8,151.1,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2016,20160630,435.8,1625.5,1074.5,0,146.6,-374.8,149.1,106,,BEACH ENERGY LTD,A,AUS,,1311
101392,INDL,HIST_STD,C,I,2017,20170630,521.9,1893.1,1402,0,148,406.3,126.2,106,,BEACH ENERGY LTD,A,AUS,,1311
101924,INDL,HIST_STD,C,I,2010,20101231,697,3025.9,1130.2,0,684.5,348.4,503.2,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2011,20111231,815.3,3889.4,1323.6,183.7,853,391.5,909.7,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2012,20121231,670.2,4843.6,1953.5,0,1284,795.2,677.5,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2013,20131231,1018.5,5813.9,2124.4,0,1889.2,657.7,655.8,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2014,20141231,1116.9,6087.6,1872.2,300,2086.2,943.1,992.7,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2015,20151231,814.8,5305.9,734.8,0,2615.1,563.4,594.2,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2016,20161231,628.2,6060.2,809.1,273,2730.5,491.5,826.2,194,,PREMIER OIL PLC,A,GBR,,1311
101924,INDL,HIST_STD,C,I,2017,20171231,830.6,6136.6,616.9,0,2972.6,491.3,823.6,194,,PREMIER OIL PLC,A,GBR,,1311
102114,INDL,HIST_STD,C,I,2010,20100630,37.76,102.977,35.197,49.837,0.075,2.846,65.522,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2010,20101231,9.137,115.497,32.237,67.509,0.068,3.901,73.67,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2011,20111231,15.825,123.153,48.29,53.897,0.055,11.47,59.381,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2012,20121231,16.386,120.44,49.461,48.924,0.04,11.194,55.674,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2013,20131231,10.725,111.924,49.363,41.099,0.063,8.717,47.394,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2014,20141231,14.976,102.752,45.132,41.777,0.042,-8.663,47.561,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2015,20151231,9.806,74.448,18.687,40.46,0.032,-20.493,44.234,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2016,20161231,5.821,91.655,36.216,38.657,0,,42.535,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102114,INDL,HIST_STD,C,I,2017,20171231,5.35,75.843,20.263,36.976,0,-12.965,40.394,106,,EMPIRE ENERGY GROUP LTD,A,AUS,,1311
102285,INDL,HIST_STD,C,I,2009,20100331,188164,376238,91115,139555,67191,7937,198963,264,0.772,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2010,20110331,206829,370542,92991,114016,58783,17829,198735,264,0.772,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2011,20120331,261726,409950,94677,118852,47358,16940,249641,264,853.255,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2012,20130331,228271,360891,81037,131906,19540,11353,236928,264,471.028,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2013,20140331,252714,380242,75113,152583,40792,1359,246399,264,6624.301,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2014,20150331,162633,287889,58068,96762,36464,-11762,174955,264,-21529.749,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2015,20160331,106480,232889,47196,57156,45946,-1105,120709,264,-11050.776,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2016,20170331,149879,288418,62637,77295,49778,24388,155583,264,13759.517,FUJI OIL COMPANY LTD,A,JPN,,1311
102285,INDL,HIST_STD,C,I,2017,20180331,160682,292430,69666,86237,39267,17009,166064,264,8013.73,FUJI OIL COMPANY LTD,A,JPN,,1311
102623,INDL,HIST_STD,C,I,2010,20101231,226.4,5280.8,2810.7,0,0,-268.5,1442.4,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2011,20111231,4823.8,7370.6,6893.3,0,0,-1125.9,223.2,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2012,20121231,1726.4,4327.7,3641.7,29.6,0,-217.6,152.5,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2013,20131231,1551.9,3606.1,3187.8,55.3,0,-525.7,267.7,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2014,20141231,1173.2,3017.4,2663.1,0,0,-363.3,289.8,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2015,20151231,785.4,2308.2,2099.4,0,0,-197.9,120.1,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2016,20161231,474.7,2458,2189.9,0,0,-145.5,123,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102623,INDL,HIST_STD,C,I,2017,20171231,218.4,3255.5,2494.5,31.3,168.2,-81.8,257.6,194,,CAIRN ENERGY PLC,A,GBR,909531,1311
102798,INDL,HIST_STD,C,I,2010,20101231,7543.979,26403.829,9080.583,1009.947,5102.784,3643.832,6220.446,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2011,20111231,7853.218,28413.387,10970.222,605.593,4356.323,4134.039,6490.62,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2012,20121231,9446.058,30519.17,11902.464,414.337,4559.698,4949.077,7276.331,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2013,20131231,8145.241,31786.248,11613.907,1008.411,4067.958,4304.088,8346.726,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2014,20141231,8391,33938,11670,612,4927,4133,8892,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2015,20151231,8609,32664,11672,507,4870,3134,8055,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2016,20161231,11071,32112,10915,276,4999,3197,7834,273,,OMV AG,A,AUT,882602,1311
102798,INDL,HIST_STD,C,I,2017,20171231,9604,31576,11216,917,5069,4306,6889,273,,OMV AG,A,AUT,882602,1311
102832,INDL,HIST_STD,C,I,2010,20101231,21360,74991,49967,840,1318,6664,9243,264,,K&O ENERGY GROUP INC,A,JPN,,1311
102832,INDL,HIST_STD,C,I,2011,20111231,27041,77490,50716,863,1262,6815,11086,264,,K&O ENERGY GROUP INC,A,JPN,,1311
102832,INDL,HIST_STD,C,I,2012,20121231,30058,81116,53289,784,1324,7991,11165,264,,K&O ENERGY GROUP INC,A,JPN,,1311
